text_clean,text_preprocessed
untuk naek ka lokal seperti rute malangsurabaya apakah dimintai persyaratan tes covid juga seperti naek ka jarak jauh seperti malangyogyakarta min,"['naek', 'ka', 'lokal', 'rute', 'malangsurabaya', 'syarat', 'tes', 'covid', 'naek', 'ka', 'jarak', 'malangyogyakarta', 'min']"
sisca kasus covid di jakarta tempat aku nyebar dengan cepat yang omicron initapi aku pasti bisa kok ke surabaya tempat mami sisca sayang tinggal dan bersenang bareng mami sisca sayang💕😘sabar ya mami sisca sayang,"['sisca', 'covid', 'jakarta', 'nyebar', 'cepat', 'omicron', 'initapi', 'surabaya', 'mami', 'sisca', 'sayang', 'tinggal', 'senang', 'bareng', 'mami', 'sisca', 'sayang sabar', 'ya', 'mami', 'sisca', 'sayang']"
pada pekan ini pemkot surabaya telah mengeluarkan sejumlah instruksi untuk jajarannya usai kota pahlawan terapkan kebijakan ppkm level   terapkan ppkm level  pemkot surabaya lakukan ini,"['pekan', 'pemkot', 'surabaya', 'keluar', 'instruksi', 'jajar', 'kota', 'pahlawan', 'terap', 'bijak', 'ppkm', 'level', 'terap', 'ppkm', 'level', 'pemkot', 'surabaya', 'laku']"
wali kota surabaya ambil kebijakan demi upayakan tekan penyebaran covid yang saat ini kasus aktifnya sudah ada di angka  orang,"['wali', 'kota', 'surabaya', 'ambil', 'bijak', 'upaya', 'tekan', 'sebar', 'covid', 'aktif', 'angka', 'orang']"
varian covid lokal di surabaya apa sih namanya aku malah khawatir kalau nanti dikasih nama “omicuk” tang mentang dari surabaya 😂🙈,"['varian', 'covid', 'lokal', 'surabaya', 'sih', 'nama', 'khawatir', 'kasih', 'nama', '', 'omicuk', '', 'tang', 'mentang', 'surabaya', '']"
orang tua positif covid di jakarta ya allah gatenang gue kerja di surabaya semoga cepet pulih ya allah,"['orang', 'tua', 'positif', 'covid', 'jakarta', 'ya', 'allah', 'gatenang', 'gue', 'kerja', 'surabaya', 'moga', 'cepet', 'pulih', 'ya', 'allah']"
hallo rek 😊  perayaan natal dan tahun baru segera tiba pemkot surabaya mencoba belajar dari pengalaman tentunya kita semua tidak ingin ada lonjakan kasus covid pasca momen natal dan tahun baru,"['hallo', 'rek', '', 'raya', 'natal', 'pemkot', 'surabaya', 'coba', 'ajar', 'alam', 'lonjak', 'covid', 'pasca', 'momen', 'natal']"
pajak untuk kpp pratama surabaya rungkut apakah ada layanan non tatap muka seperti di pratama sukomanggul  karena saya ke kpp terdekat tapi sukomanunggal tidak bisa membuka data pajak saya  mohon bantuan nya secara online karena saya mengurangi tatap muka akibat covid trims,"['pajak', 'kpp', 'pratama', 'surabaya', 'rungkut', 'layan', 'non', 'tatap', 'muka', 'pratama', 'sukomanggul', 'kpp', 'dekat', 'sukomanunggal', 'buka', 'data', 'pajak', 'mohon', 'bantu', 'nya', 'online', 'kurang', 'tatap', 'muka', 'akibat', 'covid', 'trims']"
saat ini sedang proses pematangan sop sebab pemkot dan warga surabaya punya tanggung jawab untuk saling menjaga dan memastikan tidak ada lonjakan penularan covid,"['proses', 'pematang', 'sop', 'pemkot', 'warga', 'surabaya', 'tanggung', 'jaga', 'lonjak', 'tular', 'covid']"
relawan surabaya memanggil yang berisi arekarek enom suroboyo punya rasa kepedulian yang tinggi sebelumnya relawan surabaya memanggil menjadi bagian dari keberhasilan surabaya mentas dari zona merah covid,"['rawan', 'surabaya', 'panggil', 'isi', 'arekarek', 'enom', 'suroboyo', 'peduli', 'rawan', 'surabaya', 'panggil', 'hasil', 'surabaya', 'mentas', 'zona', 'merah', 'covid']"
