created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Sep 27 12:44:38 +0000 2022;1574741807908687872;"@tuchinq dia blg tu emang bbrp taun terakhir selama pandemi ini aktifnya di surabaya, terus currently baru mulai buka di kelapa gading dan jalan2 gituu bazar ke bazar! nyami";0;0;0;0;in;39482084;1574645744224849920;ikowchey;https://twitter.com/ikowchey/status/1574741807908687872
Tue Sep 27 10:30:05 +0000 2022;1574707946600427521;"Mahasiswa Universitas Ciputra Surabaya Didorong Suguhkan Pariwisata Era New Normal.  Surabaya (https://t.co/ksziGGp1k3) – Sektor pariwisata sebagai salah satu penggerak ekonomi kembali bangkit pasca pandemi ini.… https://t.co/1OB8Zt8DDF #PendidikanKesehatan #UniversitasCiputra";0;0;0;0;in;21287066;1574707946600427521;beritajatimcom;https://twitter.com/beritajatimcom/status/1574707946600427521
Mon Sep 26 06:13:34 +0000 2022;1574281004596203522;"Usai Westlife, Ini Daftar Konser yang Akan Diselenggarakan September – Oktober di Surabaya.  Surabaya (https://t.co/ksziGGp1k3) – Konser musik kembali ramai digelar usai dua tahun vakum akibat pandemi… https://t.co/I8EF88RrAh #Ragam #daftarkonser #oktober #September #Surabaya";0;0;0;0;in;21287066;1574281004596203522;beritajatimcom;https://twitter.com/beritajatimcom/status/1574281004596203522
Mon Sep 26 02:15:17 +0000 2022;1574221038497370113;"@convomf Dari sebelum pandemi juga udah pake masker sih kalo keluar-keluar. Soalnya dulu Surabaya suka macet pol kalo pagi dan sore jadi banyak polusi, selain itu juga lebih PD aja ngga takut wajahnya diliat orang pas lagi macet 😭👍";0;0;0;0;in;832172010599968768;1574205898788319233;Naye_______;https://twitter.com/Naye_______/status/1574221038497370113
Sun Sep 25 11:41:21 +0000 2022;1574001102726406144;"Setelah itu balik Surabaya dengan barang yang astaghfirullah banyaknya. Ini liburan ga jauh2 amat (3  aja dari Surabaya) tapi berkesan karena ini liburan Geng Hore pertama kali setelah pandemi. Dan ke Madiun selalu terasa seperti pulang. Aku bahkan masih hapal jalan2nya https://t.co/ROeiIoPCX5";0;1;0;0;in;71254544;1573982090713911296;pinkymew;https://twitter.com/pinkymew/status/1574001102726406144
Sat Sep 24 02:47:56 +0000 2022;1573504478350696448;"Kemarin di Jakarta, sekarang di Solo, abis itu lanjut Surabaya, dan Jogja. Dulu ngeluh dengan kerjaan yang pergi2 melulu begini. Tapi berkat ngalamin pahitnya pandemi, kerjaan begini jadi disyukuri sekali. 🥲";0;14;11;101;in;78226378;1573504478350696448;shitlicious;https://twitter.com/shitlicious/status/1573504478350696448
Fri Sep 23 12:14:13 +0000 2022;1573284599194591233;"Rangkaian pameran di Balai Pemuda, Surabaya, Jawa Timur, yang sedang berlangsung diharapkan segera mengembalikan ruang publik itu sebagai pusat kegiatan seni budaya warga yang sempat tertunda karena pandemi Covid-19. #Nusantara #AdadiKompas https://t.co/DhlnhuxpaL";0;0;0;2;in;255866913;1573284599194591233;hariankompas;https://twitter.com/hariankompas/status/1573284599194591233
Fri Sep 23 12:08:09 +0000 2022;1573283073675755520;"Rangkaian pameran di Balai Pemuda, Surabaya, Jawa Timur, yang sedang berlangsung diharapkan segera mengembalikan ruang publik itu sebagai pusat kegiatan seni budaya warga yang sempat tertunda karena pandemi Covid-19. #Nusantara #AdadiKompas https://t.co/Ca9yW6CtiX";0;0;0;0;in;1504348745722654720;1573283073675755520;AuisGrand;https://twitter.com/AuisGrand/status/1573283073675755520
Fri Sep 23 11:56:29 +0000 2022;1573280135985262592;"Rangkaian pameran di Balai Pemuda, Surabaya, Jawa Timur, yang sedang berlangsung diharapkan segera mengembalikan ruang publik itu sebagai pusat kegiatan seni budaya warga yang sempat tertunda karena pandemi Covid-19. #Nusantara #AdadiKompas https://t.co/LMPe0Jzsr5";0;0;0;0;in;155456716;1573280135985262592;KompasKlasika;https://twitter.com/KompasKlasika/status/1573280135985262592
Fri Sep 23 09:52:14 +0000 2022;1573248869131075586;"@Wirasanchez12 Akas green sempet reaktivasi line Banyuwangi-Surabaya tapi medot probolinggo, itu dulu trayek nya yuangga. Pas pandemi kemaren pake armada julukan jet darat eks pelari mlg-ponorogo, skrg unit nya jalan mlg-p.linggo PP";0;0;0;0;in;905256582463668225;1567858532732776450;Alfianwisnu087;https://twitter.com/Alfianwisnu087/status/1573248869131075586
