created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Thu Sep 02 00:02:23 +0000 2021,1.43322E+18,"hal ini di kuatkan dengan pernyataan dari Prof. Dr. Ni Nyoman dari Universitas Airlangga yang menyatakan bahwa virus Corona telah bermutasi menjadi beberapa variant yang ada seperti virus Corona dari UK, dari India, dan dari Surabaya.",0,1,0,0,in,1.33775E+18,1.43322E+18,dont_call_me_i,https://twitter.com/dont_call_me_i/status/1433218713206075394
Wed Sep 01 13:52:06 +0000 2021,1.43307E+18,Pemkot Surabaya dalam waktu satu bulan dapat mewujudkan Kota Pahlawan menjadi zona kuning Covid-19. Target selanjutnya yakni zona hijau corona. https://t.co/Af1XzdYjeS,0,0,0,5,in,23343960,1.43307E+18,kompascom,https://twitter.com/kompascom/status/1433065129898172419
Tue Aug 31 12:12:49 +0000 2021,1.43268E+18,"Ketua DPRD Surabaya, Adi Sutarwijono mendorong para penyintas COVID-19 agar menjadi donor plasma konvalesen bagi para pasien yang kini terpapar virus corona. #KetuaDPRDSurabaya https://t.co/AZ6tOeXMwM",0,0,0,0,in,79130206,1.43268E+18,jpnncom,https://twitter.com/jpnncom/status/1432677754273550338
Tue Aug 31 12:09:37 +0000 2021,1.43268E+18,"@nindyaren Samaa pengen liburan bgt apalagi naik kereta/pesawat buat liburan huhu😭😭 tp corona ga selesai selesai²  Dom Surabaya hehe, km dom mana?  Sale emg jajan khas yaa? Aku pernah ke solo, bali, jogja, sby sale tuhh ada dimana mana dan bisa beli kiloan wkwkw",0,1,0,0,in,508469255,1.43267E+18,jaehynlovelyz,https://twitter.com/jaehynlovelyz/status/1432676952226222082
Tue Aug 31 10:23:02 +0000 2021,1.43265E+18,"Menurut Feny, upaya yang dilakukan Pemkot Surabaya menangani percepatan kasus corona berhasil mengurangi pemakaman secara prokes #pasiencorona https://t.co/mOswfFWtnt",0,0,0,0,in,79130206,1.43265E+18,jpnncom,https://twitter.com/jpnncom/status/1432650129589215232
Tue Aug 31 10:16:33 +0000 2021,1.43265E+18,Eri Cahyadi: Seluruh Kelurahan Surabaya Tidak Lagi Level 4 Kasus Corona https://t.co/KJYmkxvR3m,0,0,0,0,in,564951196,1.43265E+18,nolantv_com,https://twitter.com/nolantv_com/status/1432648495681323014
Tue Aug 31 09:50:16 +0000 2021,1.43264E+18,"Lantas timbul pertanyaan, bisakah vaksin merah putih melawan virus corona varian delta? Menjawab hal ini Ketua Tim Peneliti Vaksin Merah Putih Universitas Airlangga (Unair) Surabaya Prof. Fedik Abdul Rantam",0,1,0,0,in,1.43264E+18,1.43264E+18,YusufAkmal10,https://twitter.com/YusufAkmal10/status/1432641883163947014
Tue Aug 31 05:54:28 +0000 2021,1.43258E+18,"Corona di Surabaya Melandai, Eri Malu Kalau Tak Bisa Level 1 https://t.co/5zWnW8rAn5",0,0,0,0,in,8.29745E+17,1.43258E+18,barometer_jatim,https://twitter.com/barometer_jatim/status/1432582539961675780
Tue Aug 31 03:53:51 +0000 2021,1.43255E+18,"ITSupport Bestprofit Surabaya: Tambah Lagi Wilayah yang Turun ke PPKM Level 3, Corona Melandai? https://t.co/0qZMcz1JbI",0,0,0,0,in,7.31021E+17,1.43255E+18,bestprofitsby,https://twitter.com/bestprofitsby/status/1432552188551655424
Mon Aug 30 06:06:28 +0000 2021,1.43222E+18,"Andai corona raono mesti wes ning surabaya, jogja, bandung, bali, blitar, pekanbaru, lombok",0,0,0,0,in,1903209295,1.43222E+18,kangenmiceng,https://twitter.com/kangenmiceng/status/1432223174435819520
Sun Aug 29 06:50:57 +0000 2021,1.43187E+18,"Cak ESU pimpinan di Surabaya Ada timnya bernama Anja, Virus Corona itu berbahaya Bisa menjangkit siapa saja @SATU_Indonesia #SemangatSalingBantu #SANFAdaUntukmu",0,0,0,0,in,97424291,1.43187E+18,davinsusanto,https://twitter.com/davinsusanto/status/1431871980962082821
Sun Aug 29 01:21:25 +0000 2021,1.43179E+18,"Coba deh kasus begini kudu ada edukasinya, terutama daerah Surabaya. Saya sempat ke daerah bungkal, sambikerep, sby barat. Banyak warga dsitu anti vaksin dan ga percaya corona. Padahal angka kematian disitu lumayan tinggi karena covid. Tolong ada yang mengedukasi @e100ss",0,0,0,0,in,1.25144E+18,1.43179E+18,PenikmatEsTeh1,https://twitter.com/PenikmatEsTeh1/status/1431789048234790914
Wed Aug 25 11:59:59 +0000 2021,1.4305E+18,Buat yg sudah vaksin di Surabaya namun sertifikat blm terbit atau data salah dapat mengadukan di https://t.co/ynjEc0kC9v Info dari @e100ss  #vaksinsurabaya #vaksin #surabaya #corona #suarasurabaya #infovaksin,0,0,1,1,in,102058279,1.4305E+18,yohanis_pieloor,https://twitter.com/yohanis_pieloor/status/1430500197608558592
