created_at,id_str,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,text_clean,text_preprocessed
Thu Aug 24 23:06:51 +0000 2023,1694848777495150623,0,0,0,0,in,1655512257575686144,1694521504552415524,Alfatihp1,https://twitter.com/Alfatihp1/status/1694848777495150623,jadi inget mantan walkot surabaya jaman awal covid ahay  ide nya sangat cemerlang 😂😂,"['inget', 'mantan', 'walkot', 'surabaya', 'jaman', 'covid', 'ahay', 'ide', 'nya', 'cemerlang', '']"
Thu Aug 24 11:33:47 +0000 2023,1694674360231977183,0,0,0,0,in,517179228,1694674360231977183,kabarbanyuwangi,https://twitter.com/kabarbanyuwangi/status/1694674360231977183,banyuwangi   penerbangan rute banyuwangisurabaya kembali dibuka mulai  agustus  rute tersebut sempat terhenti akibat pandemi covid penerbangan ini akan dilayani maskapai wings air jadwalnya seminggu tiga kali,"['banyuwangi', 'terbang', 'rute', 'banyuwangisurabaya', 'buka', 'agustus', 'rute', 'henti', 'akibat', 'pandemi', 'covid', 'terbang', 'layan', 'maskapai', 'wings', 'air', 'jadwal', 'minggu', 'kali']"
Mon Aug 21 13:57:49 +0000 2023,1693623445190324291,0,0,0,0,in,1582169962906791936,1693604400886104320,Amayangmanaya,https://twitter.com/Amayangmanaya/status/1693623445190324291,wkwkwk ini bawaannya sama kaya waktu gua olimpiade ke surabaya seminggu gua keknya kalo  hari nyewa gobox deh 🤣 untung gara covid kampus ngeconvert kkn jadi bikin jurnal ilmiah ga kebayang betapa repotnya,"['wkwkwk', 'bawa', 'kaya', 'gua', 'olimpiade', 'surabaya', 'minggu', 'gua', 'kek', 'kalo', 'nyewa', 'gobox', 'deh', '', 'untung', 'gara', 'covid', 'kampus', 'ngeconvert', 'kkn', 'bikin', 'jurnal', 'ilmiah', 'ga', 'bayang', 'betapa', 'repot']"
Fri Aug 18 06:11:23 +0000 2023,1692418898577252661,0,1,0,1,in,1617796562868137984,1692418898577252661,TimesBWI,https://twitter.com/TimesBWI/status/1692418898577252661,kabar gembira bagi para penggemar wisata dan perjalanan udara   rute penerbangan surabayabanyuwangi atau sebaliknya kembali dibuka setelah sempat terhenti akibat pandemi covid,"['kabar', 'gembira', 'gemar', 'wisata', 'jalan', 'udara', 'rute', 'terbang', 'surabayabanyuwangi', 'buka', 'henti', 'akibat', 'pandemi', 'covid']"
Fri Aug 18 02:54:57 +0000 2023,1692369462681592078,0,4,1,2,in,737721343,1692350634387964348,valdianoviko,https://twitter.com/valdianoviko/status/1692369462681592078,sejak  banyak bermunculan vendor baru banyak vendor baru yang ngrusak harga pasar saat covid vendor baru dan vendor jam terbang tinggi seperti terlihat seakan bedanya tipis ya gitulah bli wkwk lokasi surabaya,"['muncul', 'vendor', 'vendor', 'ngrusak', 'harga', 'pasar', 'covid', 'vendor', 'vendor', 'jam', 'terbang', 'akan', 'beda', 'tipis', 'ya', 'gitulah', 'bli', 'wkwk', 'lokasi', 'surabaya']"
Wed Aug 16 16:14:17 +0000 2023,1691845848479773181,1,1,1,31,in,560103367,1691845848479773181,angewwie,https://twitter.com/angewwie/status/1691845848479773181,sebenernya ga punya karena aku bukan tipe yang terlalu mikirin kenapa buat salah tapi gimana cara nyelesainnya  cuma aku masih kadang suka mikir kenapa waktu itu aku nggak pulang ke surabaya waktu papaku covid padahal uas online 😂 pulang disambut kabar duka tuh gaenak,"['sebenernya', 'ga', 'tipe', 'mikirin', 'salah', 'gimana', 'nyelesainnya', 'kadang', 'suka', 'mikir', 'nggak', 'pulang', 'surabaya', 'papa', 'covid', 'uas', 'online', '', 'pulang', 'sambut', 'kabar', 'duka', 'tuh', 'gaenak']"
Mon Aug 14 07:33:15 +0000 2023,1690989946864312320,0,0,0,1,in,261471322,1690989946864312320,apaansihpin,https://twitter.com/apaansihpin/status/1690989946864312320,bersyukur banget surabaya jauh dari situasi ini varian covid baru masuk lagi ditambah polusi ga masuk akal begini auto bengek sih ini,"['syukur', 'banget', 'surabaya', 'situasi', 'varian', 'covid', 'masuk', 'tambah', 'polusi', 'ga', 'masuk', 'akal', 'auto', 'bengek', 'sih']"
Mon Aug 14 02:45:10 +0000 2023,1690917449850617856,0,0,0,0,in,79130206,1690917449850617856,jpnncom,https://twitter.com/jpnncom/status/1690917449850617856,jadwal dan lokasi vaksin covid surabaya hari ini  agustus,"['jadwal', 'lokasi', 'vaksin', 'covid', 'surabaya', 'agustus']"
Sun Aug 13 16:22:14 +0000 2023,1690760684576141312,0,0,0,0,in,1256272351945125888,1690760684576141312,le2931,https://twitter.com/le2931/status/1690760684576141312,zaman pas masih covid itu udara di kota² besar kayak jakartasurabaya itu pada membaik dan awan² nya pada cantik²,"['zaman', 'pas', 'covid', 'udara', 'kota', 'kayak', 'jakartasurabaya', 'baik', 'awan', 'nya', 'cantik']"
Sat Aug 12 00:36:46 +0000 2023,1690160361297883136,0,0,0,0,in,1442679012346662913,1689943892278620160,rubino_lugo,https://twitter.com/rubino_lugo/status/1690160361297883136,saya chef pemilik resto pasokan elpiji tidak ada masalah pendapatan stlh covid alhamdulilah menngkat pengiriman barang dr semarang surabaya malang lancar dgn adanya tol nyambung,"['chef', 'milik', 'resto', 'pasok', 'elpiji', 'dapat', 'stlh', 'covid', 'alhamdulilah', 'menngkat', 'kirim', 'barang', 'dr', 'semarang', 'surabaya', 'malang', 'lancar', 'dgn', 'tol', 'nyambung']"
